case,kind,effort,distance,mode,srgb_rmse,block_error_roughness,red_green_error_roughness
dark-gradient-e7-d6,synthetic-gradient,7,6.0,default,0.002307999413460493,0.0017263382906094193,4.274280041016709e-09
dark-gradient-e7-d6,synthetic-gradient,7,6.0,quantize,0.0012793508358299732,0.001223648665472865,5.207470454848817e-09
dark-gradient-e7-d6,synthetic-gradient,7,6.0,smooth,0.002052775351330638,0.0006123621133156121,4.369291151107291e-09
sky-gradient-e3-d1.2,synthetic-gradient,3,1.2,both,0.0008233532425947487,0.00029885818366892636,0.00021718679636251181
sky-gradient-e3-d1.2,synthetic-gradient,3,1.2,default,0.001822720980271697,0.002145111095160246,0.0009482034365646541
sky-gradient-e3-d1.2,synthetic-gradient,3,1.2,quantize,0.000954766757786274,0.0010125469416379929,0.0006011988734826446
sky-gradient-e3-d1.2,synthetic-gradient,3,1.2,smooth,0.0015119342133402824,0.0007517784251831472,0.00034101164783351123
sky-gradient-e3-d3,synthetic-gradient,3,3.0,both,0.0018116680439561605,0.0005232373951002955,0.00030817356309853494
sky-gradient-e3-d3,synthetic-gradient,3,3.0,default,0.004079624079167843,0.0031529301777482033,0.0016265746671706438
sky-gradient-e3-d3,synthetic-gradient,3,3.0,quantize,0.0019981309305876493,0.0016707188915461302,0.0008532712236046791
sky-gradient-e3-d3,synthetic-gradient,3,3.0,smooth,0.003658210625872016,0.0012338947271928191,0.0005854983464814723
sky-gradient-e3-d6,synthetic-gradient,3,6.0,both,0.003100222907960415,0.0007944987155497074,0.00037312571657821536
sky-gradient-e3-d6,synthetic-gradient,3,6.0,default,0.006995212286710739,0.004000184591859579,0.0020155387464910746
sky-gradient-e3-d6,synthetic-gradient,3,6.0,quantize,0.0033537920098751783,0.002295515965670347,0.001034387620165944
sky-gradient-e3-d6,synthetic-gradient,3,6.0,smooth,0.0065601724199950695,0.0015881826402619481,0.0007218193495646119
sky-gradient-e4-d1.2,synthetic-gradient,4,1.2,both,0.0008092694915831089,0.0002976230171043426,0.00022309969062916934
sky-gradient-e4-d1.2,synthetic-gradient,4,1.2,default,0.0016533366870135069,0.002093165647238493,0.0008290780242532492
sky-gradient-e4-d1.2,synthetic-gradient,4,1.2,quantize,0.0009549924288876355,0.0010173586197197437,0.0006313552148640156
sky-gradient-e4-d1.2,synthetic-gradient,4,1.2,smooth,0.0013750616926699877,0.0007004429353401065,0.00030321782105602324
sky-gradient-e4-d3,synthetic-gradient,4,3.0,both,0.0018310187151655555,0.0005100019043311477,0.00030840301769785583
sky-gradient-e4-d3,synthetic-gradient,4,3.0,both-matched-size,0.002097419695928693,0.0005975243402644992,0.0003016091650351882
sky-gradient-e4-d3,synthetic-gradient,4,3.0,default,0.004080996848642826,0.003178892657160759,0.001595118548721075
sky-gradient-e4-d3,synthetic-gradient,4,3.0,quantize,0.001947440323419869,0.0016358549473807216,0.0008249697857536376
sky-gradient-e4-d3,synthetic-gradient,4,3.0,smooth,0.003151145065203309,0.0011727303499355912,0.0004296176484785974
sky-gradient-e4-d6,synthetic-gradient,4,6.0,both,0.0034906610380858183,0.000786739808972925,0.0003914751287084073
sky-gradient-e4-d6,synthetic-gradient,4,6.0,default,0.007687757257372141,0.00419166823849082,0.002127376152202487
sky-gradient-e4-d6,synthetic-gradient,4,6.0,quantize,0.00385879585519433,0.0022910237312316895,0.0011520474217832088
sky-gradient-e4-d6,synthetic-gradient,4,6.0,smooth,0.0063801780343055725,0.001526123145595193,0.0007227829191833735
sky-gradient-e7-d1.2,synthetic-gradient,7,1.2,both,0.0007945659453980625,0.000327311921864748,0.00023838863126002252
sky-gradient-e7-d1.2,synthetic-gradient,7,1.2,default,0.0019704285077750683,0.0023905320558696985,0.0009706335258670151
sky-gradient-e7-d1.2,synthetic-gradient,7,1.2,quantize,0.0010233146604150534,0.0011461738031357527,0.0006988687673583627
sky-gradient-e7-d1.2,synthetic-gradient,7,1.2,smooth,0.0014023256953805685,0.0008250494720414281,0.00035338758607394993
sky-gradient-e7-d3,synthetic-gradient,7,3.0,both,0.0018451189389452338,0.0005653979605995119,0.0003322868433315307
sky-gradient-e7-d3,synthetic-gradient,7,3.0,both-matched-size,0.002770693739876151,0.0007355266716331244,0.0004420496989041567
sky-gradient-e7-d3,synthetic-gradient,7,3.0,default,0.003789810463786125,0.003423622576519847,0.0013150862650945783
sky-gradient-e7-d3,synthetic-gradient,7,3.0,quantize,0.002115928567945957,0.0018237679032608867,0.0010787241626530886
sky-gradient-e7-d3,synthetic-gradient,7,3.0,smooth,0.003700057277455926,0.0012816664529964328,0.00056295475224033
sky-gradient-e7-d6,synthetic-gradient,7,6.0,both,0.0031546580139547586,0.0008345660171471536,0.0004070534196216613
sky-gradient-e7-d6,synthetic-gradient,7,6.0,both-matched-size,0.005230478476732969,0.0011796432081609964,0.0004198028182145208
sky-gradient-e7-d6,synthetic-gradient,7,6.0,default,0.007513355929404497,0.004429813474416733,0.0023136066738516092
sky-gradient-e7-d6,synthetic-gradient,7,6.0,quantize,0.0038311078678816557,0.0025348588824272156,0.0011845930712297559
sky-gradient-e7-d6,synthetic-gradient,7,6.0,smooth,0.00707712909206748,0.0016313048545271158,0.0008159943390637636
