window,counter_id,counter,covered_ms,mean
gjxl_aq_initial_quant_modulation,13,F32 Limiter,1.103041,22.164740315009016
gjxl_aq_validate_initial_mask,13,F32 Limiter,1.881417,0.0
gjxl_ac_strategy_dct16x8_candidate_loss_parallel,13,F32 Limiter,3.520834,34.05661575889634
gjxl_ac_strategy_dct8x16_candidate_loss_parallel,13,F32 Limiter,3.679291,33.52351896025223
gjxl_ac_strategy_dct32x16_candidate_loss_local,13,F32 Limiter,8.398917,49.40820088619795
gjxl_ac_strategy_dct32_candidate_loss_local,13,F32 Limiter,31.607784,44.36550923733645
gjxl_dct32_forward_simdgroup_2d_matmul_image,13,F32 Limiter,3.889417,47.75921185802452
gjxl_aq_final_cfl,13,F32 Limiter,2.502625,53.18584064208167
gjxl_aq_dc_quantize_simd_wave,13,F32 Limiter,2.990876,0.20668065637399624
gjxl_dct32_inverse_simdgroup_2d_matmul_image,13,F32 Limiter,7.533458,48.5549342567497
gjxl_aq_gaborish_f32,13,F32 Limiter,13.45346,5.68679868050432
gjxl_aq_epf_pass1_tile32x4_p2,13,F32 Limiter,4.482374,43.570675815943005
gjxl_aq_epf_pass2_linear_tile32x4_p2,13,F32 Limiter,11.198084,29.446256646594502
gjxl_butteraugli_malta_fixed_f32,13,F32 Limiter,2.549708,52.111148936955864
gjxl_butteraugli_final_l2_masked_ac_f32,13,F32 Limiter,9.075249,6.139389517773794
gjxl_butteraugli_resident_l2_reduce_w64_simd,13,F32 Limiter,4.076207,11.045958236725282
gjxl_ac_strategy_dct16_candidate_loss_parallel,13,F32 Limiter,7.254378,40.98640544561017
all ordinary GPU active,14,F32 Utilization,662.110066,23.973890147762898
gjxl_aq_resident_input_transform,14,F32 Utilization,6.374792,12.042285215608267
gjxl_aq_resident_input_statistics,14,F32 Utilization,1.925875,3.6421183933731704
gjxl_butteraugli_low_medium_p1_device,14,F32 Utilization,15.729545,36.79551035197232
gjxl_butteraugli_convolve_transpose_f32,14,F32 Utilization,9.670374,19.93373954119376
gjxl_butteraugli_subsample2x_f32,14,F32 Utilization,2.510083,2.3771284598484614
gjxl_butteraugli_frequency_high_convolve_f32,14,F32 Utilization,9.845999,17.706851890908776
gjxl_butteraugli_frequency_suppress_x_f32,14,F32 Utilization,4.082791,6.263069608011405
gjxl_butteraugli_frequency_ultra_mask_convolve_f32,14,F32 Utilization,12.272249,12.69641675799823
gjxl_butteraugli_fuzzy_erosion_f32,14,F32 Utilization,1.030249,3.1264843966315854
gjxl_convolve_symmetric5_f32,14,F32 Utilization,2.9835,8.70770237574538
gjxl_aq_initial_cfl,14,F32 Utilization,4.532375,2.153517273049376
gjxl_aq_initial_quant_gradient,14,F32 Utilization,1.95925,21.91079867504062
gjxl_aq_initial_quant_modulation,14,F32 Utilization,1.103041,18.47833129666016
gjxl_aq_validate_initial_mask,14,F32 Utilization,1.881417,0.0
gjxl_ac_strategy_dct16x8_candidate_loss_parallel,14,F32 Utilization,3.520834,26.565331664469664
gjxl_ac_strategy_dct8x16_candidate_loss_parallel,14,F32 Utilization,3.679291,26.98748516333648
gjxl_ac_strategy_dct32x16_candidate_loss_local,14,F32 Utilization,8.398917,39.18586641675156
gjxl_ac_strategy_dct32_candidate_loss_local,14,F32 Utilization,31.607784,36.72797764723068
gjxl_dct32_forward_simdgroup_2d_matmul_image,14,F32 Utilization,3.889417,39.932336621680314
gjxl_aq_final_cfl,14,F32 Utilization,2.502625,39.07965320501303
gjxl_aq_dc_quantize_simd_wave,14,F32 Utilization,2.990876,0.19791306901141886
gjxl_dct32_inverse_simdgroup_2d_matmul_image,14,F32 Utilization,7.533458,41.273925677602676
gjxl_aq_gaborish_f32,14,F32 Utilization,13.45346,5.2042365762774505
gjxl_aq_epf_pass1_tile32x4_p2,14,F32 Utilization,4.482374,31.004781671226223
