resolution_class,effort,stage,mean_ms
12mp,9,aq.reconstruction.forward.dct16x32,0.15397916666666667
12mp,9,aq.reconstruction.forward.dct16x8,0.07668766666666665
12mp,9,aq.reconstruction.forward.dct32,0.6556666666666667
12mp,9,aq.reconstruction.forward.dct32x16,0.11389583333333335
12mp,9,aq.reconstruction.forward.dct8,0.3856393333333334
12mp,9,aq.reconstruction.forward.dct8x16,0.09591683333333334
12mp,9,aq.reconstruction.quantizer,2.022937666666667
12mp,9,aq.reconstruction.reset,0.0099795
12mp,9,aq.strategy_dispatch,0.0032776666666666666
12mp,9,butteraugli.malta.main,27.42191683333333
12mp,9,butteraugli.malta.sub,6.9644866666666685
12mp,9,butteraugli.mask.main,5.264735833333333
12mp,9,butteraugli.mask_final.sub,6.796639
12mp,9,butteraugli.psycho.main.high_x,7.113410000000001
12mp,9,butteraugli.psycho.main.high_y,6.917903
12mp,9,butteraugli.psycho.main.low_medium,21.654576333333335
12mp,9,butteraugli.psycho.main.medium_b,5.720861
12mp,9,butteraugli.psycho.main.opsin,7.792840833333333
12mp,9,butteraugli.psycho.main.suppress_x,2.513931
12mp,9,butteraugli.psycho.main.ultra_x,6.433000500000001
12mp,9,butteraugli.psycho.main.ultra_y,10.477868
12mp,9,butteraugli.psycho.sub.high_x,1.6266461666666665
12mp,9,butteraugli.psycho.sub.high_y,1.7508471666666665
