case,kernel,trace_calls_per_encode,s103_gpu_ms_per_encode,s103_kernel_percent,profiled_ns,gpc_mhz,dram_mhz,dram_read_bytes,dram_write_bytes,dram_GB_s,dram_percent,lsu_percent_active,l2_percent_elapsed,fma_percent_active,occupancy_percent,eligible_warps,issue_active_percent,registers_per_thread,static_shared_bytes,long_scoreboard_cycles_per_issue,mio_throttle_cycles_per_issue,anomalies
4k,"void unnamed>::EncodeResidentCoefficientsShapeKernel<32, 16, 256, 1>(const CudaAqAnchor *, const float *, const int *, const signed char *, const signed char *, const float *, int *, float *, float *, int *, float *, const unsigned char *, const unsigned int *, const float *, unsigned int *, CudaAqExactBatch, CudaAqResidentParams)",1.0,0.03708366666666667,0.022194850658985427,11008.0,1197.0082364300001,5441.86046512,30592.0,442368.0,42.96511627906977,16.45,26.26,20.91,13.66,62.6,0.93,42.89,42.0,128.0,7.16,0.21,
4k,"void unnamed>::InverseDctFactoredKernel<32, 16, const float *, unnamed>::AqDctImageOutput>(T3, T4, unsigned long long)",2.0,0.0270725,0.01620309285665881,5728.0,1250.52374302,5452.51396648,11776.0,549888.0,98.05586592178771,37.47,63.08,29.16,18.94,20.73,0.54,32.41,40.0,4224.0,1.42,1.28,
4k,"unnamed>::FuzzyErosionKernel(const float *, float *, float *, unsigned int *, CudaAqGeometry, float, float, float, float)",1.0,0.026470166666666666,0.015842591871132506,27008.0,1274.02991706,5478.67298578,2030976.0,1343360.0,124.93838862559242,47.51,24.6,17.4,31.9,83.73,3.69,81.6,40.0,0.0,1.79,0.02,
4k,"unnamed>::SelectionInitializeKernel(unsigned int *, unsigned int *, unsigned int)",8.0,0.02586783333333333,0.0154820908856062,2048.0,1249.34895833,5333.33333333,2560.0,1664.0,2.0625,0.81,11.17,0.91,1.12,15.56,0.07,6.38,16.0,0.0,0.64,0.0,
4k,"void unnamed>::ForwardDctFactoredKernel<32, 16, unnamed>::AqDctImageSource<32>>(T3, float *, unsigned long long)",1.0,0.018811,0.011258523583954523,11904.0,1260.02464158,5462.365591399999,751360.0,516992.0,106.54838709677419,40.64,24.14,13.99,8.67,23.17,0.23,13.74,40.0,4224.0,14.6,0.75,
4k,"unnamed>::FinalizeQuantizerKernel(const float *, unsigned int *, unsigned int *, unsigned int, float)",4.0,0.0172645,0.01033293181729748,2144.0,1248.60074627,5253.73134328,5120.0,256.0,2.5074626865671643,0.99,0.79,1.21,0.57,2.12,0.06,5.96,17.0,0.0,3.62,0.0,
4k,"unnamed>::AdjustQuantFieldKernel(const CudaAqAnchor *, float *, unsigned int *, unsigned int, CudaAqExactBatch, float)",2.0,0.0161015,0.009636867656533078,6176.0,1267.3791019,5443.86873921,524032.0,0.0,84.84974093264249,32.47,11.08,19.96,3.31,16.55,0.16,14.7,36.0,0.0,7.23,0.0,
4k,"unnamed>::ReducePositiveRangeKernel(const float *, unsigned int, float *, unsigned int *)",1.0,0.011291,0.006757747583139149,8832.0,1277.0229468599998,5449.27536232,2944.0,384.0,0.37681159420289856,0.14,18.97,9.77,2.85,74.41,0.21,13.38,16.0,0.0,52.29,0.16,
4k,"unnamed>::ResidentPolicyInitializeKernel(const float *, float *, float *, unsigned int *, CudaAqResidentPolicyParams)",1.0,0.007253666666666666,0.004341373517453164,6528.0,1257.35294118,5411.76470588,521216.0,420352.0,144.23529411764707,55.53,13.81,17.76,2.3,70.68,0.26,14.21,16.0,0.0,35.64,0.07,
4k,unnamed>::InitializePositiveRangeKernel(float *),1.0,0.002709333333333333,0.001621556176180291,1984.0,1239.0793010799998,5333.33333333,4608.0,0.0,2.3225806451612905,0.91,0.92,0.99,0.08,2.07,0.03,3.14,16.0,0.0,0.0,0.0,
1080p,"void unnamed>::ConvolutionLowMediumRowsKernel<48>(const float *, const float *, const float *, const float *, const float *, const float *, const float *, float *, float *, float *, float *, float *, float *, unnamed>::LowMediumParams)",6.0,1.8216365,6.619287088189041,486112.0,1274.9997257100001,5494.4813815200005,60255872.0,49925760.0,226.65894279507603,85.94,40.18,31.17,11.45,46.71,0.42,25.63,54.0,30856.0,15.86,1.61,
1080p,"unnamed>::ErosionL2FinalKernel(unnamed>::DifferencePlan, unnamed>::FinalPlan)",4.0,1.7540458333333333,6.373682640128873,695424.0,1279.09304252,5495.306460520001,165767936.0,9458560.0,251.9707344008835,95.52,14.59,41.18,12.16,91.72,0.55,28.9,40.0,0.0,32.25,0.02,
